Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
2187,Middlesex,Jeffrey Eugenides,"Eugenides, Jeffrey",,"=""0312422156""","=""9780312422158""",5,4.01,Picador USA,Paperback,529,2003,2002,,2010/12/16,"5-star, pulitzer","5-star (#26), pulitzer (#5)",read,,,,1,,,0,,,,,
89208,"How Late It Was, How Late",James Kelman,"Kelman, James",,"=""039332799X""","=""9780393327991""",4,3.58,W. W. Norton  Company,Paperback,384,2005,1994,,2010/12/16,"bookers, books-about-boozing, unlikeable-male-protagonist","bookers (#17), books-about-boozing (#7), unlikeable-male-protagonist (#7)",read,,,,1,,,0,,,,,
5068,Last Orders,Graham Swift,"Swift, Graham",,"=""0330489674""","=""9780330489676""",4,3.68,Picador,Paperback,352,2001,1996,,2010/12/16,"bookers, books-about-boozing","bookers (#15), books-about-boozing (#6)",read,,,,1,,,0,,,,,
316496,Oscar and Lucinda,Peter Carey,"Carey, Peter",,"=""0702229784""","=""9780702229787""",3,3.73,University of Queensland Press,Paperback,515,1998,1988,,2010/12/16,bookers,bookers (#23),read,,,,1,,,0,,,,,
151926,"The Ghost Road (Regeneration, #3)",Pat Barker,"Barker, Pat",,"=""0452276721""","=""9780452276727""",4,4.10,A William Abrahams Book/Plume,Paperback,277,1996,1995,,2010/12/16,"bookers, war","bookers (#16), war (#19)",read,,,,1,,,0,,,,,
110090,True History of the Kelly Gang,Peter Carey,"Carey, Peter",,"=""0375724672""","=""9780375724671""",3,3.82,Vintage,Paperback,384,2001,2000,,2010/12/16,bookers,bookers (#10),read,,,,1,,,0,,,,,
30512,Paddy Clarke Ha Ha Ha,Roddy Doyle,"Doyle, Roddy",Léon Mercadet,"=""2264022442""","=""9782264022448""",4,3.76,Editions 10/18,Mass Market Paperback,307,1998,1993,,2010/12/16,bookers,bookers (#18),read,,,,1,,,0,,,,,
139087,The Line of Beauty,Alan Hollinghurst,"Hollinghurst, Alan",,"=""0739464469""","=""9780739464465""",4,3.72,Bloomsbury,Paperback,438,2004,2004,,2010/12/16,bookers,bookers (#7),read,,,,1,,,0,,,,,
11229,"The Sea, The Sea",Iris Murdoch,"Murdoch, Iris",Mary Kinzie,"=""014118616X""","=""9780141186160""",3,3.93,Penguin Books Ltd,Paperback,528,2001,1978,,2010/12/16,bookers,bookers (#31),read,,,,1,,,0,,,,,
998133,The Gathering,Anne Enright,"Enright, Anne",,"=""0802170390""","=""9780802170392""",3,3.09,"Grove Press, Black Cat",Paperback,261,2007,2007,,2010/12/16,bookers,bookers (#4),read,,,,1,,,0,,,,,
3656,The Sea,John Banville,"Banville, John",,"=""1400097029""","=""9781400097029""",3,3.52,Vintage,Paperback,195,2006,2005,,2010/12/16,"bookers, unlikeable-male-protagonist","bookers (#6), unlikeable-male-protagonist (#10)",read,,,,1,,,0,,,,,
95186,The Inheritance of Loss,Kiran Desai,"Desai, Kiran",,"=""0802142818""","=""9780802142818""",4,3.44,Grove Press,Paperback,357,2005,2005,,2010/12/16,bookers,bookers (#5),read,,,,1,,,0,,,,,
6862,Amsterdam,Ian McEwan,"McEwan, Ian",,"=""0385494246""","=""9780385494243""",4,3.44,Anchor Books/Knopf Doubleday Publishing Group,Paperback,208,1999,1998,,2010/12/16,bookers,bookers (#13),read,,,,1,,,0,,,,,
1768603,The White Tiger,Aravind Adiga,"Adiga, Aravind",,"=""1416562591""","=""9781416562597""",4,3.75,Free Press,Hardcover,276,2008,2008,,2010/12/16,bookers,bookers (#3),read,,,,1,,,0,,,,,
6192,Disgrace,J.M. Coetzee,"Coetzee, J.M.",,"=""0143036378""","=""9780143036371""",3,3.84,Penguin Books,Paperback,220,2005,1999,,2010/12/16,bookers,bookers (#12),read,,,,1,,,0,,,,,
41219,Possession,A.S. Byatt,"Byatt, A.S.",,"=""0679735909""","=""9780679735908""",3,3.87,Vintage,Paperback,555,1991,1990,,2010/12/16,bookers,bookers (#21),read,,,,1,,,0,,,,,
14836,Midnight's Children,Salman Rushdie,"Rushdie, Salman",,"=""0099578514""","=""9780099578512""",4,3.98,Vintage,Paperback,647,1995,1981,,2010/12/16,bookers,bookers (#30),read,,,,1,,,0,,,,,
11713,The English Patient,Michael Ondaatje,"Ondaatje, Michael",,"=""0771068719""","=""9780771068713""",4,3.87,McClelland & Stewart,Hardcover,320,2006,1992,,2010/12/16,"bookers, war","bookers (#47), war (#7)",read,,,,1,,,0,,,,,
28921,The Remains of the Day,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",5,4.13,Faber & Faber,Paperback,258,2005,1989,,2010/12/16,"5-star, bookers","5-star (#25), bookers (#22)",read,,,,1,,,0,,,,,
78433,The Blind Assassin,Margaret Atwood,"Atwood, Margaret",,"=""""","=""""",5,3.95,Virago Press Ltd,Paperback,637,2001,2000,,2010/12/16,"5-star, bookers","5-star (#24), bookers (#11)",read,,,,1,,,0,,,,,
28001,Accordion Crimes,Annie Proulx,"Proulx, Annie",,"=""0684831546""","=""9780684831541""",4,3.59,Scribner,Paperback,432,1997,1996,2010/12/13,2010/12/05,,,read,,,,1,,,0,,,,,
